fitness,fuel_consumption,computation_time,optimal_time
"[9698.129977785471, 6288.622271595473, 5410.431161441392, 4969.307325771446, 4969.307325771446, 4348.4467275572515, 4348.4467275572515, 4348.4467275572515, 4208.145490799865, 4090.6501031089538, 294.3108654423242, 294.3108654423242, 294.3108654423242, 288.31090113382135, 286.6960599161333, 286.6960599161333, 286.6960599161333, 284.30909581795714, 284.30909581795714, 279.0135395452902, 279.0135395452902, 279.0135395452902, 279.0135395452902, 267.80717214811017, 267.80717214811017, 267.80717214811017, 265.53188023814926, 265.53188023814926, 265.53188023814926, 264.7328657334138, 264.7328657334138, 258.0749476925112, 258.0749476925112, 258.0749476925112, 254.46300239669714, 253.76019823533392, 248.89203742927776, 248.89203742927776, 247.3973338736423, 247.3973338736423, 245.93899473743855, 245.93899473743855, 245.93899473743855, 245.93899473743855, 232.11962480252214, 232.11962480252214, 232.11962480252214, 232.11962480252214, 232.11962480252214, 231.54606857963986, 231.54606857963986, 231.54606857963986, 229.3594797439847, 229.3594797439847, 228.71949193724652, 228.03496604333057, 223.0422988975032, 223.0422988975032, 223.0422988975032, 220.56613223668063, 217.42558133958417, 217.42558133958417, 217.42558133958417, 217.42558133958417, 217.42558133958417, 207.9269078761873, 207.9269078761873, 207.9269078761873, 204.99152783468193, 204.99152783468193, 204.99152783468193, 204.99152783468193, 204.77312571647093, 202.8616998848409, 202.48102478325728, 202.48102478325728, 202.36198008415835, 201.5213278908494, 201.0110175274378, 201.0110175274378, 201.0110175274378, 198.5527080094039, 198.5527080094039, 195.98663362743108, 195.98663362743108, 195.98663362743108, 195.98663362743108, 195.98663362743108, 195.98663362743108, 195.98663362743108, 195.98663362743108, 194.57315978086646, 194.57315978086646, 191.85862207015384, 191.85862207015384, 191.3830348268313, 187.5022832837359, 187.5022832837359, 187.5022832837359, 187.5022832837359, 187.5022832837359, 185.7789351625481, 185.7789351625481, 185.7789351625481, 185.7789351625481, 185.7789351625481, 185.7789351625481, 185.7789351625481, 185.7789351625481, 180.06711213461134, 180.06711213461134, 180.06711213461134, 180.06711213461134, 179.69815363554946, 179.69815363554946, 179.69815363554946, 179.69815363554946, 179.69815363554946, 179.69815363554946, 179.69815363554946, 179.69815363554946, 179.69815363554946, 179.69815363554946, 178.67598980680876, 178.67598980680876, 175.1466273956979, 175.1466273956979, 175.1466273956979, 175.1466273956979, 175.1466273956979, 174.83909775899778, 174.83909775899778, 174.83909775899778, 170.6509260333069, 170.6509260333069, 170.6509260333069, 170.6509260333069, 170.6509260333069, 170.6509260333069, 167.28484872731974, 167.28484872731974, 167.28484872731974, 167.28484872731974, 167.28484872731974, 167.28484872731974, 167.28484872731974, 165.96534422729806, 165.96534422729806, 165.96534422729806, 165.96534422729806, 165.96534422729806, 164.6614909365696, 164.6614909365696, 164.6614909365696, 164.6614909365696, 164.6614909365696, 164.6614909365696, 164.6614909365696, 164.6614909365696, 164.6614909365696, 164.6614909365696, 164.6614909365696, 164.27601980722847, 164.27601980722847, 164.27601980722847, 164.27601980722847, 164.27601980722847, 164.27601980722847, 160.7106984691509, 160.7106984691509, 160.7106984691509, 160.7106984691509, 160.7106984691509, 160.7106984691509, 158.56990050627567, 158.56990050627567, 158.56990050627567, 158.56990050627567, 158.56990050627567, 158.56990050627567, 158.56990050627567, 158.56990050627567, 158.56990050627567, 158.56990050627567, 158.56990050627567, 158.56990050627567, 158.56990050627567, 153.11392046756814, 153.11392046756814, 153.11392046756814, 153.11392046756814, 153.11392046756814, 153.11392046756814, 150.9605704428565, 150.9605704428565, 150.9605704428565, 150.9605704428565, 150.9605704428565, 150.9605704428565, 150.9605704428565, 150.9605704428565, 150.9605704428565, 150.92750011158293, 150.92750011158293, 150.92750011158293, 150.92750011158293, 150.92750011158293, 150.92750011158293, 150.92750011158293, 150.92750011158293, 150.92750011158293, 150.92750011158293, 150.92750011158293, 150.69071519739182, 150.69071519739182, 150.69071519739182, 150.69071519739182, 150.69071519739182, 150.6499031345443, 150.6499031345443, 150.6499031345443, 150.6499031345443, 150.6499031345443, 150.6499031345443, 150.6499031345443, 150.6499031345443, 150.6499031345443, 150.6499031345443, 147.61194460511328, 147.61194460511328, 147.61194460511328, 147.61194460511328, 147.61194460511328, 147.61194460511328, 147.61194460511328, 147.61194460511328, 147.61194460511328, 147.61194460511328, 147.48366782095658, 147.48366782095658, 147.48366782095658, 147.48366782095658, 147.48366782095658, 147.48366782095658, 147.48366782095658, 147.48366782095658, 147.48366782095658, 147.48366782095658, 147.48366782095658, 147.48366782095658]","[259.12997778547134, 279.6222715954731, 290.4311614413922, 323.30732577144545, 323.30732577144545, 354.4467275572513, 354.4467275572513, 354.4467275572513, 287.1454907998653, 308.65010310895394, 294.3108654423242, 294.3108654423242, 294.3108654423242, 288.31090113382135, 286.6960599161333, 286.6960599161333, 286.6960599161333, 284.30909581795714, 284.30909581795714, 279.0135395452902, 279.0135395452902, 279.0135395452902, 279.0135395452902, 267.80717214811017, 267.80717214811017, 267.80717214811017, 265.53188023814926, 265.53188023814926, 265.53188023814926, 264.7328657334138, 264.7328657334138, 258.0749476925112, 258.0749476925112, 258.0749476925112, 254.46300239669714, 253.76019823533392, 248.89203742927776, 248.89203742927776, 247.3973338736423, 247.3973338736423, 245.93899473743855, 245.93899473743855, 245.93899473743855, 245.93899473743855, 232.11962480252214, 232.11962480252214, 232.11962480252214, 232.11962480252214, 232.11962480252214, 231.54606857963986, 231.54606857963986, 231.54606857963986, 229.3594797439847, 229.3594797439847, 228.71949193724652, 228.03496604333057, 223.0422988975032, 223.0422988975032, 223.0422988975032, 220.56613223668063, 217.42558133958417, 217.42558133958417, 217.42558133958417, 217.42558133958417, 217.42558133958417, 207.9269078761873, 207.9269078761873, 207.9269078761873, 204.99152783468193, 204.99152783468193, 204.99152783468193, 204.99152783468193, 204.77312571647093, 202.8616998848409, 202.48102478325728, 202.48102478325728, 202.36198008415835, 201.5213278908494, 201.0110175274378, 201.0110175274378, 201.0110175274378, 198.5527080094039, 198.5527080094039, 195.98663362743108, 195.98663362743108, 195.98663362743108, 195.98663362743108, 195.98663362743108, 195.98663362743108, 195.98663362743108, 195.98663362743108, 194.57315978086646, 194.57315978086646, 191.85862207015384, 191.85862207015384, 191.3830348268313, 187.5022832837359, 187.5022832837359, 187.5022832837359, 187.5022832837359, 187.5022832837359, 185.7789351625481, 185.7789351625481, 185.7789351625481, 185.7789351625481, 185.7789351625481, 185.7789351625481, 185.7789351625481, 185.7789351625481, 180.06711213461134, 180.06711213461134, 180.06711213461134, 180.06711213461134, 179.69815363554946, 179.69815363554946, 179.69815363554946, 179.69815363554946, 179.69815363554946, 179.69815363554946, 179.69815363554946, 179.69815363554946, 179.69815363554946, 179.69815363554946, 178.67598980680876, 178.67598980680876, 175.1466273956979, 175.1466273956979, 175.1466273956979, 175.1466273956979, 175.1466273956979, 174.83909775899778, 174.83909775899778, 174.83909775899778, 170.6509260333069, 170.6509260333069, 170.6509260333069, 170.6509260333069, 170.6509260333069, 170.6509260333069, 167.28484872731974, 167.28484872731974, 167.28484872731974, 167.28484872731974, 167.28484872731974, 167.28484872731974, 167.28484872731974, 165.96534422729806, 165.96534422729806, 165.96534422729806, 165.96534422729806, 165.96534422729806, 164.6614909365696, 164.6614909365696, 164.6614909365696, 164.6614909365696, 164.6614909365696, 164.6614909365696, 164.6614909365696, 164.6614909365696, 164.6614909365696, 164.6614909365696, 164.6614909365696, 164.27601980722847, 164.27601980722847, 164.27601980722847, 164.27601980722847, 164.27601980722847, 164.27601980722847, 160.7106984691509, 160.7106984691509, 160.7106984691509, 160.7106984691509, 160.7106984691509, 160.7106984691509, 158.56990050627567, 158.56990050627567, 158.56990050627567, 158.56990050627567, 158.56990050627567, 158.56990050627567, 158.56990050627567, 158.56990050627567, 158.56990050627567, 158.56990050627567, 158.56990050627567, 158.56990050627567, 158.56990050627567, 153.11392046756814, 153.11392046756814, 153.11392046756814, 153.11392046756814, 153.11392046756814, 153.11392046756814, 150.9605704428565, 150.9605704428565, 150.9605704428565, 150.9605704428565, 150.9605704428565, 150.9605704428565, 150.9605704428565, 150.9605704428565, 150.9605704428565, 150.92750011158293, 150.92750011158293, 150.92750011158293, 150.92750011158293, 150.92750011158293, 150.92750011158293, 150.92750011158293, 150.92750011158293, 150.92750011158293, 150.92750011158293, 150.92750011158293, 150.69071519739182, 150.69071519739182, 150.69071519739182, 150.69071519739182, 150.69071519739182, 150.6499031345443, 150.6499031345443, 150.6499031345443, 150.6499031345443, 150.6499031345443, 150.6499031345443, 150.6499031345443, 150.6499031345443, 150.6499031345443, 150.6499031345443, 147.61194460511328, 147.61194460511328, 147.61194460511328, 147.61194460511328, 147.61194460511328, 147.61194460511328, 147.61194460511328, 147.61194460511328, 147.61194460511328, 147.61194460511328, 147.48366782095658, 147.48366782095658, 147.48366782095658, 147.48366782095658, 147.48366782095658, 147.48366782095658, 147.48366782095658, 147.48366782095658, 147.48366782095658, 147.48366782095658, 147.48366782095658, 147.48366782095658]",32.06169819831848,30.770706176757812
"[9633.506750187391, 4569.645685952525, 4569.645685952525, 4569.645685952525, 4471.332401023565, 4471.332401023565, 4365.5589390916975, 4365.5589390916975, 4324.871341669717, 4151.25655024648, 4151.25655024648, 347.16124826847835, 338.4167142333406, 325.79342019515445, 325.79342019515445, 325.79342019515445, 325.79342019515445, 325.4675751521685, 325.4675751521685, 325.4675751521685, 325.4675751521685, 325.4675751521685, 316.41773598320924, 313.2278307062389, 311.48356119070405, 311.0602713283065, 299.1018483886022, 293.1359985891234, 291.57033904520017, 291.57033904520017, 288.4195540414399, 269.2840124122948, 267.50021060861695, 267.50021060861695, 267.50021060861695, 265.56017389177146, 260.91765141156577, 253.67856707311137, 253.67856707311137, 253.67856707311137, 253.67856707311137, 253.67856707311137, 245.04611329995052, 245.04611329995052, 243.2793969771925, 235.6537380926023, 235.6537380926023, 235.6537380926023, 235.08889357976994, 235.08889357976994, 235.08889357976994, 234.3546246682322, 230.37265897827368, 226.12166648984044, 224.96421825713736, 224.96421825713736, 224.96421825713736, 224.96421825713736, 223.379847786151, 223.379847786151, 223.379847786151, 223.379847786151, 223.379847786151, 220.77064679173938, 220.77064679173938, 219.7288629289717, 217.6550492161264, 215.31714264456602, 215.31714264456602, 215.31714264456602, 215.31714264456602, 215.31714264456602, 215.31714264456602, 215.31714264456602, 214.15872696643743, 214.15872696643743, 214.15872696643743, 214.15872696643743, 212.05030416108065, 212.05030416108065, 208.1196270504968, 208.1196270504968, 208.1196270504968, 207.99282983640134, 207.99282983640134, 207.99282983640134, 207.03505920054909, 207.03505920054909, 207.03505920054909, 207.03505920054909, 207.03505920054909, 207.03505920054909, 193.77391357149924, 193.77391357149924, 193.77391357149924, 193.77391357149924, 193.77391357149924, 193.77391357149924, 191.02062202038863, 191.02062202038863, 191.02062202038863, 191.02062202038863, 190.54117064578838, 190.19157369143647, 187.95948184480292, 187.85154258392657, 187.85154258392657, 187.13043351585077, 187.13043351585077, 185.75126637102025, 185.75126637102025, 185.75126637102025, 185.47056794234297, 185.47056794234297, 185.47056794234297, 185.47056794234297, 185.47056794234297, 185.47056794234297, 185.10834115396463, 184.4491548708667, 184.4491548708667, 184.4491548708667, 184.4491548708667, 184.4491548708667, 184.4491548708667, 184.17881706592382, 184.16845644218944, 184.16845644218944, 184.16845644218944, 183.80622965381107, 183.80622965381107, 183.80622965381107, 183.80622965381107, 183.80622965381107, 181.5985763895399, 181.5985763895399, 181.5985763895399, 181.5985763895399, 181.5985763895399, 181.5985763895399, 181.5985763895399, 181.5985763895399, 181.5985763895399, 180.17083942018706, 180.17083942018706, 180.17083942018706, 180.17083942018706, 180.17083942018706, 177.66054387867499, 177.66054387867499, 177.66054387867499, 171.8087730375811, 171.8087730375811, 171.8087730375811, 171.8087730375811, 171.8087730375811, 170.40580146516356, 170.40580146516356, 170.40580146516356, 170.40580146516356, 170.40580146516356, 170.40580146516356, 170.40580146516356, 170.40580146516356, 169.51067760818933, 169.51067760818933, 169.51067760818933, 169.51067760818933, 169.51067760818933, 169.51067760818933, 169.51067760818933, 169.51067760818933, 169.51067760818933, 168.8122617210683, 168.8122617210683, 168.8122617210683, 168.8122617210683, 168.8122617210683, 168.8122617210683, 168.8122617210683, 168.8122617210683, 168.8122617210683, 168.56036815346636, 168.56036815346636, 168.56036815346636, 168.56036815346636, 167.94122611480742, 167.94122611480742, 167.81179871415466, 167.81179871415466, 167.81179871415466, 166.9909166600845, 166.9909166600845, 166.9909166600845, 166.9909166600845, 166.9909166600845, 166.9909166600845, 166.9909166600845, 166.9909166600845, 166.9909166600845, 164.51620814667004, 164.51620814667004, 164.51620814667004, 164.51620814667004, 164.51620814667004, 164.51620814667004, 164.51620814667004, 164.51620814667004, 164.51620814667004, 164.51620814667004, 164.51620814667004, 164.51620814667004, 164.51620814667004, 164.51620814667004, 164.51620814667004, 164.51620814667004, 164.51620814667004, 164.51620814667004, 164.51620814667004, 164.15347294179307, 164.15347294179307, 162.5880477825386, 162.5880477825386, 162.5880477825386, 162.5880477825386, 162.5880477825386, 162.5880477825386, 162.5880477825386, 162.5880477825386, 162.5880477825386, 162.2725629282204, 162.2725629282204, 162.2725629282204, 162.2725629282204, 162.2725629282204, 162.1940562384034, 161.04710921054976, 161.04710921054976, 160.7596392139755, 160.7596392139755, 160.7596392139755, 160.7596392139755, 160.7596392139755, 160.7596392139755, 159.6992898154503, 159.6992898154503, 159.6992898154503, 159.6992898154503, 159.6992898154503, 158.50422844219358]","[305.50675018739133, 272.6456859525249, 272.6456859525249, 272.6456859525249, 324.332401023565, 324.332401023565, 353.5589390916975, 353.5589390916975, 284.8713416697169, 362.25655024648034, 362.25655024648034, 347.16124826847835, 338.4167142333406, 325.79342019515445, 325.79342019515445, 325.79342019515445, 325.79342019515445, 325.4675751521685, 325.4675751521685, 325.4675751521685, 325.4675751521685, 325.4675751521685, 316.41773598320924, 313.2278307062389, 311.48356119070405, 311.0602713283065, 299.1018483886022, 293.1359985891234, 291.57033904520017, 291.57033904520017, 288.4195540414399, 269.2840124122948, 267.50021060861695, 267.50021060861695, 267.50021060861695, 265.56017389177146, 260.91765141156577, 253.67856707311137, 253.67856707311137, 253.67856707311137, 253.67856707311137, 253.67856707311137, 245.04611329995052, 245.04611329995052, 243.2793969771925, 235.6537380926023, 235.6537380926023, 235.6537380926023, 235.08889357976994, 235.08889357976994, 235.08889357976994, 234.3546246682322, 230.37265897827368, 226.12166648984044, 224.96421825713736, 224.96421825713736, 224.96421825713736, 224.96421825713736, 223.379847786151, 223.379847786151, 223.379847786151, 223.379847786151, 223.379847786151, 220.77064679173938, 220.77064679173938, 219.7288629289717, 217.6550492161264, 215.31714264456602, 215.31714264456602, 215.31714264456602, 215.31714264456602, 215.31714264456602, 215.31714264456602, 215.31714264456602, 214.15872696643743, 214.15872696643743, 214.15872696643743, 214.15872696643743, 212.05030416108065, 212.05030416108065, 208.1196270504968, 208.1196270504968, 208.1196270504968, 207.99282983640134, 207.99282983640134, 207.99282983640134, 207.03505920054909, 207.03505920054909, 207.03505920054909, 207.03505920054909, 207.03505920054909, 207.03505920054909, 193.77391357149924, 193.77391357149924, 193.77391357149924, 193.77391357149924, 193.77391357149924, 193.77391357149924, 191.02062202038863, 191.02062202038863, 191.02062202038863, 191.02062202038863, 190.54117064578838, 190.19157369143647, 187.95948184480292, 187.85154258392657, 187.85154258392657, 187.13043351585077, 187.13043351585077, 185.75126637102025, 185.75126637102025, 185.75126637102025, 185.47056794234297, 185.47056794234297, 185.47056794234297, 185.47056794234297, 185.47056794234297, 185.47056794234297, 185.10834115396463, 184.4491548708667, 184.4491548708667, 184.4491548708667, 184.4491548708667, 184.4491548708667, 184.4491548708667, 184.17881706592382, 184.16845644218944, 184.16845644218944, 184.16845644218944, 183.80622965381107, 183.80622965381107, 183.80622965381107, 183.80622965381107, 183.80622965381107, 181.5985763895399, 181.5985763895399, 181.5985763895399, 181.5985763895399, 181.5985763895399, 181.5985763895399, 181.5985763895399, 181.5985763895399, 181.5985763895399, 180.17083942018706, 180.17083942018706, 180.17083942018706, 180.17083942018706, 180.17083942018706, 177.66054387867499, 177.66054387867499, 177.66054387867499, 171.8087730375811, 171.8087730375811, 171.8087730375811, 171.8087730375811, 171.8087730375811, 170.40580146516356, 170.40580146516356, 170.40580146516356, 170.40580146516356, 170.40580146516356, 170.40580146516356, 170.40580146516356, 170.40580146516356, 169.51067760818933, 169.51067760818933, 169.51067760818933, 169.51067760818933, 169.51067760818933, 169.51067760818933, 169.51067760818933, 169.51067760818933, 169.51067760818933, 168.8122617210683, 168.8122617210683, 168.8122617210683, 168.8122617210683, 168.8122617210683, 168.8122617210683, 168.8122617210683, 168.8122617210683, 168.8122617210683, 168.56036815346636, 168.56036815346636, 168.56036815346636, 168.56036815346636, 167.94122611480742, 167.94122611480742, 167.81179871415466, 167.81179871415466, 167.81179871415466, 166.9909166600845, 166.9909166600845, 166.9909166600845, 166.9909166600845, 166.9909166600845, 166.9909166600845, 166.9909166600845, 166.9909166600845, 166.9909166600845, 164.51620814667004, 164.51620814667004, 164.51620814667004, 164.51620814667004, 164.51620814667004, 164.51620814667004, 164.51620814667004, 164.51620814667004, 164.51620814667004, 164.51620814667004, 164.51620814667004, 164.51620814667004, 164.51620814667004, 164.51620814667004, 164.51620814667004, 164.51620814667004, 164.51620814667004, 164.51620814667004, 164.51620814667004, 164.15347294179307, 164.15347294179307, 162.5880477825386, 162.5880477825386, 162.5880477825386, 162.5880477825386, 162.5880477825386, 162.5880477825386, 162.5880477825386, 162.5880477825386, 162.5880477825386, 162.2725629282204, 162.2725629282204, 162.2725629282204, 162.2725629282204, 162.2725629282204, 162.1940562384034, 161.04710921054976, 161.04710921054976, 160.7596392139755, 160.7596392139755, 160.7596392139755, 160.7596392139755, 160.7596392139755, 160.7596392139755, 159.6992898154503, 159.6992898154503, 159.6992898154503, 159.6992898154503, 159.6992898154503, 158.50422844219358]",31.895123720169067,31.895123720169067
"[9878.72985535245, 4962.401537820992, 4962.401537820992, 4962.401537820992, 4962.401537820992, 4962.401537820992, 4861.977800524109, 4567.74743717952, 4567.74743717952, 4480.558171552683, 4480.558171552683, 4282.4651204783, 4282.4651204783, 4244.934184516212, 4244.934184516212, 4106.707049847999, 323.3110049264195, 323.3110049264195, 323.3110049264195, 321.5346954500105, 321.5346954500105, 321.5346954500105, 321.5346954500105, 315.8047675647454, 314.7270717844988, 304.09834490096034, 304.09834490096034, 304.09834490096034, 304.09834490096034, 304.09834490096034, 304.09834490096034, 302.62338222952394, 302.0628242962598, 302.0628242962598, 286.7154855074144, 286.7154855074144, 277.13483569490734, 277.13483569490734, 267.04180693523483, 265.28306036674303, 265.28306036674303, 265.28306036674303, 259.9553329181523, 256.3298064820351, 254.10752631526853, 254.10752631526853, 250.34082297778411, 250.34082297778411, 250.34082297778411, 247.57374962313207, 247.57374962313207, 229.27694588730606, 229.27694588730606, 229.27694588730606, 229.27694588730606, 229.27694588730606, 229.27694588730606, 229.27694588730606, 229.27694588730606, 229.27694588730606, 229.27694588730606, 229.27694588730606, 229.27694588730606, 229.27694588730606, 229.27694588730606, 225.64599344168775, 225.64599344168775, 219.11836361920177, 219.11836361920177, 219.11836361920177, 219.11836361920177, 219.11836361920177, 219.11836361920177, 219.11836361920177, 214.53904307428945, 208.48980091667542, 208.48980091667542, 208.48980091667542, 208.48980091667542, 208.48980091667542, 208.48980091667542, 208.48980091667542, 208.48980091667542, 200.68388779935842, 200.68388779935842, 200.68388779935842, 200.68388779935842, 200.68388779935842, 200.68273634646877, 198.23045124752605, 198.23045124752605, 198.23045124752605, 198.23045124752605, 198.23045124752605, 198.23045124752605, 198.23045124752605, 192.2711098784475, 189.991116745657, 189.991116745657, 189.991116745657, 189.991116745657, 189.991116745657, 189.991116745657, 189.991116745657, 189.991116745657, 189.991116745657, 189.991116745657, 187.462810614105, 187.462810614105, 187.2793766447896, 187.2793766447896, 185.64698595538735, 185.64698595538735, 185.64698595538735, 185.64698595538735, 185.64698595538735, 185.64698595538735, 185.64698595538735, 185.64698595538735, 185.64698595538735, 185.1943311051299, 184.280044381444, 183.65068834945833, 183.65068834945833, 183.65068834945833, 183.65068834945833, 183.65068834945833, 183.65068834945833, 183.65068834945833, 183.65068834945833, 182.70007873231927, 182.00502682433012, 182.00502682433012, 182.00502682433012, 182.00502682433012, 181.69954534981417, 181.69954534981417, 179.45967615939654, 179.45967615939654, 179.45967615939654, 179.45967615939654, 179.45967615939654, 179.45967615939654, 179.45967615939654, 179.4140012725315, 179.4140012725315, 179.4140012725315, 178.46339165539243, 178.46339165539243, 178.46339165539243, 178.45480681640308, 178.45480681640308, 176.81292100042918, 176.81292100042918, 176.81292100042918, 176.81292100042918, 176.81292100042918, 176.81292100042918, 176.81292100042918, 176.81292100042918, 176.81292100042918, 176.80433616143983, 176.80433616143983, 176.80433616143983, 176.80433616143983, 176.80433616143983, 176.80433616143983, 176.80433616143983, 176.78955368936056, 176.78955368936056, 173.95149833154946, 173.95149833154946, 171.5099675883754, 171.5099675883754, 171.5099675883754, 171.5099675883754, 171.5099675883754, 171.5099675883754, 171.5099675883754, 171.5099675883754, 171.5099675883754, 171.5099675883754, 171.5099675883754, 171.5099675883754, 171.5099675883754, 170.14125444463292, 170.14125444463292, 170.14125444463292, 170.14125444463292, 170.14125444463292, 170.14125444463292, 170.14125444463292, 170.14125444463292, 170.14125444463292, 170.14125444463292, 170.14125444463292, 170.14125444463292, 170.14125444463292, 170.14125444463292, 170.14125444463292, 170.14125444463292, 170.14125444463292, 170.14125444463292, 167.396145962914, 167.396145962914, 167.396145962914, 167.396145962914, 167.396145962914, 167.396145962914, 167.396145962914, 167.396145962914, 167.396145962914, 167.396145962914, 167.396145962914, 167.396145962914, 167.396145962914, 165.7884006992414, 165.7884006992414, 165.7884006992414, 165.7884006992414, 165.7884006992414, 165.7884006992414, 165.7884006992414, 165.7884006992414, 165.7884006992414, 165.7884006992414, 165.7884006992414, 165.7884006992414, 165.7884006992414, 165.4157985573982, 165.4157985573982, 165.4157985573982, 165.159863376547, 165.159863376547, 165.159863376547, 165.159863376547, 165.159863376547, 165.159863376547, 165.159863376547, 165.159863376547, 165.159863376547, 165.159863376547, 163.8934304014715, 163.8934304014715, 163.8934304014715, 163.8934304014715, 163.8934304014715, 163.8934304014715, 163.8934304014715, 163.8934304014715]","[288.72985535245084, 286.4015378209924, 286.4015378209924, 286.4015378209924, 286.4015378209924, 286.4015378209924, 326.9778005241083, 274.74743717951975, 274.74743717951975, 322.55817155268284, 322.55817155268284, 300.46512047830055, 300.46512047830055, 321.9341845162116, 321.9341845162116, 306.70704984799875, 323.3110049264195, 323.3110049264195, 323.3110049264195, 321.5346954500105, 321.5346954500105, 321.5346954500105, 321.5346954500105, 315.8047675647454, 314.7270717844988, 304.09834490096034, 304.09834490096034, 304.09834490096034, 304.09834490096034, 304.09834490096034, 304.09834490096034, 302.62338222952394, 302.0628242962598, 302.0628242962598, 286.7154855074144, 286.7154855074144, 277.13483569490734, 277.13483569490734, 267.04180693523483, 265.28306036674303, 265.28306036674303, 265.28306036674303, 259.9553329181523, 256.3298064820351, 254.10752631526853, 254.10752631526853, 250.34082297778411, 250.34082297778411, 250.34082297778411, 247.57374962313207, 247.57374962313207, 229.27694588730606, 229.27694588730606, 229.27694588730606, 229.27694588730606, 229.27694588730606, 229.27694588730606, 229.27694588730606, 229.27694588730606, 229.27694588730606, 229.27694588730606, 229.27694588730606, 229.27694588730606, 229.27694588730606, 229.27694588730606, 225.64599344168775, 225.64599344168775, 219.11836361920177, 219.11836361920177, 219.11836361920177, 219.11836361920177, 219.11836361920177, 219.11836361920177, 219.11836361920177, 214.53904307428945, 208.48980091667542, 208.48980091667542, 208.48980091667542, 208.48980091667542, 208.48980091667542, 208.48980091667542, 208.48980091667542, 208.48980091667542, 200.68388779935842, 200.68388779935842, 200.68388779935842, 200.68388779935842, 200.68388779935842, 200.68273634646877, 198.23045124752605, 198.23045124752605, 198.23045124752605, 198.23045124752605, 198.23045124752605, 198.23045124752605, 198.23045124752605, 192.2711098784475, 189.991116745657, 189.991116745657, 189.991116745657, 189.991116745657, 189.991116745657, 189.991116745657, 189.991116745657, 189.991116745657, 189.991116745657, 189.991116745657, 187.462810614105, 187.462810614105, 187.2793766447896, 187.2793766447896, 185.64698595538735, 185.64698595538735, 185.64698595538735, 185.64698595538735, 185.64698595538735, 185.64698595538735, 185.64698595538735, 185.64698595538735, 185.64698595538735, 185.1943311051299, 184.280044381444, 183.65068834945833, 183.65068834945833, 183.65068834945833, 183.65068834945833, 183.65068834945833, 183.65068834945833, 183.65068834945833, 183.65068834945833, 182.70007873231927, 182.00502682433012, 182.00502682433012, 182.00502682433012, 182.00502682433012, 181.69954534981417, 181.69954534981417, 179.45967615939654, 179.45967615939654, 179.45967615939654, 179.45967615939654, 179.45967615939654, 179.45967615939654, 179.45967615939654, 179.4140012725315, 179.4140012725315, 179.4140012725315, 178.46339165539243, 178.46339165539243, 178.46339165539243, 178.45480681640308, 178.45480681640308, 176.81292100042918, 176.81292100042918, 176.81292100042918, 176.81292100042918, 176.81292100042918, 176.81292100042918, 176.81292100042918, 176.81292100042918, 176.81292100042918, 176.80433616143983, 176.80433616143983, 176.80433616143983, 176.80433616143983, 176.80433616143983, 176.80433616143983, 176.80433616143983, 176.78955368936056, 176.78955368936056, 173.95149833154946, 173.95149833154946, 171.5099675883754, 171.5099675883754, 171.5099675883754, 171.5099675883754, 171.5099675883754, 171.5099675883754, 171.5099675883754, 171.5099675883754, 171.5099675883754, 171.5099675883754, 171.5099675883754, 171.5099675883754, 171.5099675883754, 170.14125444463292, 170.14125444463292, 170.14125444463292, 170.14125444463292, 170.14125444463292, 170.14125444463292, 170.14125444463292, 170.14125444463292, 170.14125444463292, 170.14125444463292, 170.14125444463292, 170.14125444463292, 170.14125444463292, 170.14125444463292, 170.14125444463292, 170.14125444463292, 170.14125444463292, 170.14125444463292, 167.396145962914, 167.396145962914, 167.396145962914, 167.396145962914, 167.396145962914, 167.396145962914, 167.396145962914, 167.396145962914, 167.396145962914, 167.396145962914, 167.396145962914, 167.396145962914, 167.396145962914, 165.7884006992414, 165.7884006992414, 165.7884006992414, 165.7884006992414, 165.7884006992414, 165.7884006992414, 165.7884006992414, 165.7884006992414, 165.7884006992414, 165.7884006992414, 165.7884006992414, 165.7884006992414, 165.7884006992414, 165.4157985573982, 165.4157985573982, 165.4157985573982, 165.159863376547, 165.159863376547, 165.159863376547, 165.159863376547, 165.159863376547, 165.159863376547, 165.159863376547, 165.159863376547, 165.159863376547, 165.159863376547, 163.8934304014715, 163.8934304014715, 163.8934304014715, 163.8934304014715, 163.8934304014715, 163.8934304014715, 163.8934304014715, 163.8934304014715]",31.956674098968506,31.12423801422119
