,Total distance (km),Total Travel Time (h),Total load (kg),Fuel Consumption (L),Avg Fuel Conspumtion (L/100km),Avg Speed (km/h)
0,95.468,01:57:30,1499.0,14.41395077103228,15.098201251762138,48.7496170212766
1,109.253,01:26:48,441.0,18.49181482415553,16.925681513693473,75.52050691244239
2,24.655,00:26:28,1362.0,3.670830105842704,14.88878566555548,55.89294710327456
3,212.087,03:06:02,2291.0,36.77749767419117,17.340760006125397,68.40290270560831
4,122.146,01:47:38,466.0,19.093562366441923,15.631754102829337,68.09005884174667
5,122.057,02:42:59,3635.0,18.907219812422092,15.49048380053753,44.9335514878822
6,33.967,00:54:29,1789.0,5.2154590853596,15.35448843100539,37.406301621290915
7,56.047,00:53:22,444.0,8.377873476363668,14.947942755836472,63.01349156777014
8,51.789,00:45:20,359.0,8.12922011953079,15.696808433317482,68.54426470588236
9,83.985,01:17:38,313.0,12.66750494610955,15.083056434017445,64.9089738085015
10,146.599,02:16:32,871.0,22.840993299642616,15.580592841453637,64.42338867187499
11,49.222,00:48:16,345.0,7.220091715671764,14.668424110502954,61.187569060773484
12,129.47,01:54:46,1128.0,20.738392707148805,16.017913576232953,67.68690095846645
13,83.958,01:24:47,444.0,12.188570959636332,14.517462254503837,59.41592294082957
